Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Status,Image Src
portable-water-bottle,Portable Pet Water Bottle,"<p>Leak-proof travel water bottle with built-in bowl. Perfect for walks, travel, and outdoor adventures. One-handed operation.</p><p><strong>Features:</strong></p><ul><li>500ml capacity</li><li>Leak-proof design</li><li>Built-in bowl</li><li>BPA-free plastic</li></ul>",Pawflok,Travel,"dogs,cats,travel,hydration",TRUE,Color,Blue,"PF-WB-011",180,shopify,55,deny,manual,499,,TRUE,TRUE,active,"https://images.unsplash.com/photo-1566576912321-d58ddd7a6088?w=800&h=800&fit=crop"
elevated-feeder-set,Elevated Feeder Set for Dogs,"<p>Ergonomic raised feeder reduces neck strain and improves digestion. Adjustable height. Non-slip bowls. Ideal for medium to large dogs.</p><p><strong>Features:</strong></p><ul><li>Adjustable height stand</li><li>Stainless steel bowls</li><li>Non-slip feet</li><li>Easy to clean</li></ul>",Pawflok,Feeding,"dogs,feeding,elevated",TRUE,Size,Large,"PF-EF-012",1200,shopify,20,deny,manual,2499,2999,TRUE,TRUE,active,"https://images.unsplash.com/photo-1767023023369-96a7c923be0c?w=800&h=800&fit=crop"
pet-carrier-bag,Soft-Sided Pet Carrier Bag,"<p>Airline-approved soft carrier for small dogs and cats. Mesh windows for ventilation. Padded shoulder strap. Fits under airplane seat.</p><p><strong>Features:</strong></p><ul><li>Airline approved</li><li>Mesh ventilation</li><li>Padded interior</li><li>Multiple pockets</li></ul>",Pawflok,Travel,"dogs,cats,carrier,travel",TRUE,Color,Grey,"PF-CB-013",450,shopify,30,deny,manual,1899,2299,TRUE,TRUE,active,"https://images.unsplash.com/photo-1587300003388-59208cc962cb?w=800&h=800&fit=crop"
dental-chew-sticks,Natural Dental Chew Sticks (6-Pack),"<p>Natural dental chews that clean teeth and freshen breath. Grain-free, single ingredient. Vet recommended for dental health.</p><p><strong>Features:</strong></p><ul><li>100% natural</li><li>Grain-free</li><li>Reduces tartar</li><li>6 sticks per pack</li></ul>",Pawflok,Dog Treats,"dogs,treats,dental,chews",TRUE,,,"PF-DC-014",300,shopify,100,deny,manual,699,899,TRUE,TRUE,active,"https://images.unsplash.com/photo-1530281700549-e82e7bf110d6?w=800&h=800&fit=crop"
cat-bed-cave,Cozy Cat Bed Cave,"<p>Enclosed cat bed with soft fleece interior. Provides security and warmth. Machine washable. Perfect for anxious or shy cats.</p><p><strong>Features:</strong></p><ul><li>Enclosed design</li><li>Soft fleece lining</li><li>Machine washable</li><li>Non-slip bottom</li></ul>",Pawflok,Cat Beds,"cats,beds,cozy",TRUE,Size,Medium,"PF-CBC-015",400,shopify,40,deny,manual,1299,1599,TRUE,TRUE,active,"https://images.unsplash.com/photo-1514888286974-6c03e2ca1dba?w=800&h=800&fit=crop"
reflective-dog-leash,Reflective Dog Leash (5ft),"<p>Strong nylon leash with reflective stitching. Visible in low light. Comfortable handle. D-ring for poop bag attachment.</p><p><strong>Features:</strong></p><ul><li>Reflective stitching</li><li>5ft length</li><li>Strong nylon</li><li>Comfortable grip</li></ul>",Pawflok,Dog Accessories,"dogs,leashes,safety",TRUE,Color,Black,"PF-RL-016",120,shopify,70,deny,manual,649,,TRUE,TRUE,active,"https://images.unsplash.com/photo-1561037404-61cd46aa615b?w=800&h=800&fit=crop"
pet-shampoo-oatmeal,Oatmeal Pet Shampoo (500ml),"<p>Gentle oatmeal shampoo for dogs and cats. Soothes dry, itchy skin. pH balanced. No parabens or sulfates. Fresh lavender scent.</p><p><strong>Features:</strong></p><ul><li>Oatmeal formula</li><li>pH balanced</li><li>No harsh chemicals</li><li>500ml bottle</li></ul>",Pawflok,Grooming,"dogs,cats,grooming,shampoo",TRUE,,,"PF-SH-017",550,shopify,60,deny,manual,449,549,TRUE,TRUE,active,"https://images.unsplash.com/photo-1566576912321-d58ddd7a6088?w=800&h=800&fit=crop"
bird-perch-stand,Bird Perch & Play Stand,"<p>Multi-level play stand for parakeets and small birds. Natural wood perches. Includes food cups and toy hooks. Easy to assemble.</p><p><strong>Features:</strong></p><ul><li>Natural wood</li><li>Multiple perches</li><li>Food cups included</li><li>Compact design</li></ul>",Pawflok,Bird Supplies,"birds,perch,play",TRUE,,,"PF-BP-018",800,shopify,15,deny,manual,1999,2499,TRUE,TRUE,active,"https://images.unsplash.com/photo-1720411396753-405e506a909b?w=800&h=800&fit=crop"
pet-first-aid-kit,Pet First Aid Kit,"<p>Essential first aid supplies for pets. Includes gauze, bandages, antiseptic, thermometer, and guide. Compact travel case.</p><p><strong>Features:</strong></p><ul><li>30+ items</li><li>Travel case</li><li>Instruction guide</li><li>Vet approved</li></ul>",Pawflok,Health,"dogs,cats,first-aid,health",TRUE,,,"PF-FA-019",350,shopify,45,deny,manual,999,1299,TRUE,TRUE,active,"https://images.unsplash.com/photo-1566576912321-d58ddd7a6088?w=800&h=800&fit=crop"
slow-feeder-bowl,Slow Feeder Bowl for Dogs,"<p>Maze design slows down eating. Reduces bloat and improves digestion. Non-slip base. Dishwasher safe. Multiple sizes.</p><p><strong>Features:</strong></p><ul><li>Maze design</li><li>Non-slip base</li><li>Dishwasher safe</li><li>Food-grade plastic</li></ul>",Pawflok,Feeding,"dogs,feeding,slow-feeder",TRUE,Size,Medium,"PF-SF-020",200,shopify,50,deny,manual,599,749,TRUE,TRUE,active,"https://images.unsplash.com/photo-1598134493136-7b63ebbd7b64?w=800&h=800&fit=crop"
